rural_or_urban,state_name,district_name,block_tehsil_name,town_municipality_name,village_name,ward_name,serial_number,enumeration_date,water_body_present_sac_data,unique_id,water_body_name,basin_name,sub_basin_name,water_body_type,nature_of_storage,khasra_number,latitude,longitude,water_body_location,ownership,water_body_in_use,water_body_uses_1,water_body_uses_2,water_body_uses_3,cca_water_body,ipc_water_body,not_in_use_reason,water_body_nature,manmade_water_body_type,construction_year,construction_cost,renovation_year,renovation_cost,water_body_presently_under_repair_renovation_restoration,scheme_under_revival_done,scheme_inclusion_year,targeted_completion_year,estimated_cost,targeted_potential_revival,irrigation_potential_revived,associated_with_central_scheme,central_scheme_name,water_throughout_year,number_months,water_spread_area_reference_year,water_spread_area_current_year,minimum_water_spread_area,maximum_water_spread_area,max_depth_water_body_fully_filled,storage_capacity_water_body_original,storage_capacity_water_body_present,filled_up_storage,presence_of_silt,filled_up_storage_space,no_of_town_cities_benefited,no_of_villages_benefited,no_people_benefited_by_water_body,wua_exists,extent_of_area_covered_by_wua,number_of_wua_formed,dip_sip_exists,water_body_encroached,encroachment_assessed,area_encroached_percentage,standalone_or_connected,number_of_connected_water_bodies,captured_in_previous_census,enumerator_name,image_path,created_on,remark
Rural,GOA,North Goa,Bardez,,Marna,,6,2026-05-07,No,1/30/551/005929/0626671/0006,pond- 11/5 marna siolim,,,Ponds,,11/5 Marna igrez wado,15.6146263,73.7723075,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,303.38,303.38,218.0,304.0,2.0,596.0,596.0,Full,Yes,Filled up every year,0.0,7.0,100.0,Yes,1.0,1.0,No,No,,,1-Standalone,,No,SACHI BETKAR,MIC_2692325.jpeg,2026-05-07 11:56:50.022,
Rural,GOA,North Goa,Bardez,,Marna,,7,2026-05-07,No,1/30/551/005929/0626671/0007,pond - 12/5 marna siolim ,,,Ponds,,12/5 marna igrez wado,15.6131526,73.7744382,Others,Group of Individuals,Yes,Recreation,Ground water recharge,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,187.14,187.14,150.0,187.14,5.0,935.0,935.0,Full,No,Filled up every year,0.0,7.0,50.0,Yes,1.0,1.0,No,No,,,1-Standalone,,Yes,SACHI BETKAR,MIC_2692331.jpeg,2026-05-07 11:59:00.771,
Rural,GOA,North Goa,Bardez,,Marna,,8,2026-05-07,No,1/30/551/005929/0626671/0008,pond- 7/2 Siolim marna,,,Ponds,,7/2 marna igrez wado,15.6166068,73.7728379,Others,Individual,Yes,Recreation,Pisciculture,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,616.21,616.21,456.0,616.21,4.0,2456.0,2456.0,Full,Yes,Filled up every year,0.0,7.0,50.0,,,,No,No,,,1-Standalone,,No,SACHI BETKAR,MIC_2692335.jpeg,2026-05-07 12:01:26.32,
Rural,GOA,North Goa,Bardez,,Marna,,9,2026-05-07,No,1/30/551/005929/0626671/0009,pond - 17/2 Siolim Marna ,,,Ponds,,17/2 marna igrez wado,15.6130974,73.7751317,Others,Group of Individuals,Yes,Recreation,Irrigation,Ground water recharge,863.69,900.01,,Natural,,,,,,No,,,,,,,No,,Yes,,1084.27,1084.27,856.0,1084.27,7.0,6530.0,6530.0,Full,Yes,Filled up every year,0.0,7.0,100.0,Yes,1.0,50.0,Yes,No,,,2-Connected,1.0,No,SACHI BETKAR,MIC_2692340.jpeg,2026-05-07 12:03:09.913,
Rural,GOA,North Goa,Bardez,,Marna,,10,2026-05-07,No,1/30/551/005929/0626671/0010,ponds 38/21 ,,,Ponds,,38/21 Marna Narohna wado,15.61547,73.78022,Others,Group of Individuals,Yes,Recreation,Ground water recharge,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,125.51,125.51,96.0,125.51,3.0,325.0,325.0,Full,Yes,Filled up every year,0.0,7.0,50.0,Not Known,,,No,No,,,1-Standalone,,No,SACHI BETKAR,MIC_2692345.jpeg,2026-05-07 12:05:32.151,
Rural,GOA,North Goa,Bardez,,Marna,,11,2026-05-07,No,1/30/551/005929/0626671/0011,pond- 41/16 A Siolim marna,,,Ponds,,41/16 A Narohna wado,15.6157727,73.7825674,Others,Group of Individuals,No,,,,,,Dried-up,Natural,,,,,,No,,,,,,,No,,Yes,,196.31,196.31,20.0,196.31,2.0,356.0,20.0,Upto 1/2,Yes,Filled up every year,0.0,7.0,50.0,Not Known,,,Yes,No,,,1-Standalone,,No,SACHI BETKAR,MIC_2692350.jpeg,2026-05-07 12:07:30.638,
Rural,GOA,North Goa,Bardez,,Marna,,12,2026-05-07,No,1/30/551/005929/0626671/0012,pond-42/1,,,Ponds,,42/1 Narohna wado,15.6158811,73.7841413,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,373.45,373.45,116.0,373.45,2.0,693.0,693.0,Full,Yes,Filled up every year,0.0,7.0,100.0,Yes,1.0,1.0,No,No,,,1-Standalone,,No,SACHI BETKAR,MIC_2692358.jpeg,2026-05-07 12:09:42.873,
Rural,GOA,North Goa,Bardez,,Marna,,13,2026-05-07,No,1/30/551/005929/0626671/0013,pond-42/5 Siolim marna,,,Ponds,,42/5 Narohna wado,15.6160758,73.7847353,Others,Group of Individuals,No,,,,,,Dried-up,Natural,,,,,,No,,,,,,,No,,Yes,,186.88,186.88,23.9,186.88,1.0,165.0,24.18,Full,Yes,Filled up every year,0.0,7.0,20.0,Not Known,,,No,No,,,1-Standalone,,No,SACHI BETKAR,MIC_2692362.jpeg,2026-05-07 12:11:20.134,
Rural,GOA,North Goa,Bardez,,Marna,,14,2026-05-07,No,1/30/551/005929/0626671/0014,pond-44/3,,,Ponds,,44/3 marna siolim,15.6160883,73.785535,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,310.23,310.23,246.0,310.23,3.0,839.0,839.0,Full,Yes,Filled up every year,10.0,7.0,50.0,Yes,1.0,1.0,No,No,,,1-Standalone,,No,SACHI BETKAR,MIC_2692365.jpeg,2026-05-07 12:13:28.596,
Rural,GOA,North Goa,Bardez,,Marna,,15,2026-05-07,No,1/30/551/005929/0626671/0015,pond- 35/2 cruz waddo,,,Ponds,,35/2 cruz waddo marna siolim,15.6149094,73.7779456,Others,Group of Individuals,Yes,Recreation,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,69.86,69.86,65.0,69.86,2.0,140.0,140.0,Full,Yes,Filled up every year,0.0,7.0,20.0,Not Known,,,No,No,,,1-Standalone,,No,SACHI BETKAR,MIC_2692371.jpeg,2026-05-07 12:15:17.292,
Rural,GOA,North Goa,Bardez,,Marna,,16,2026-05-07,No,1/30/551/005929/0626671/0016,pond -20/1,,,Ponds,,20/1 marna costa wado,15.6146402,73.7772432,Others,Group of Individuals,No,,,,,,Dried-up,Natural,,,,,,No,,,,,,,No,,Yes,,80.96,80.96,10.0,80.96,2.0,153.0,153.0,Full,Yes,Filled up every year,0.0,7.0,30.0,Not Known,,,No,No,,,1-Standalone,,No,SACHI BETKAR,MIC_2692382.jpeg,2026-05-07 12:16:24.276,
Rural,GOA,North Goa,Bardez,,Marna,,17,2026-05-07,No,1/30/551/005929/0626671/0017,pond-364/1 A,,,Ponds,,364/1 A marna Golan,15.6063283,73.772005,Others,Individual,No,,,,,,Dried-up,Natural,,,,,,No,,,,,,,No,,Yes,,103.21,103.21,10.0,103.21,4.0,386.0,386.0,Full,Yes,Filled up every year,0.0,7.0,20.0,,,,No,No,,,1-Standalone,,No,SACHI BETKAR,MIC_2692388.jpeg,2026-05-07 12:17:59.271,
Rural,GOA,North Goa,Bardez,,Assagao,,1,2026-04-30,No,1/30/551/005929/0626672/0001,Audumbar Dattaram Temple Tank Valle,,,Tank,,172/39,15.5997854,73.7940293,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,24.6,24.6,12.3,24.12,2.0,12.6,12.6,Full,No,Filled up every year,1.0,1.0,260.0,No,,,No,No,,,1-Standalone,,No,VIKAS FATARPEKAR,MIC_2670573.jpeg,2026-04-30 10:19:47.215,
Rural,GOA,North Goa,Bardez,,Assagao,,2,2026-05-04,No,1/30/551/005929/0626672/0002,Ternar,,,Ponds,,235/16,15.5937206,73.7719454,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,54.24,54.24,27.12,108.48,2.0,54.24,54.24,Upto 1/4,No,Rarely filled up,1.0,1.0,150.0,No,,,No,No,,,1-Standalone,,No,VIKAS FATARPEKAR,MIC_2681954.jpeg,2026-05-04 11:27:44.482,
Rural,GOA,North Goa,Bardez,,Assagao,,3,2026-05-04,No,1/30/551/005929/0626672/0003,Wadachi pat,,,Ponds,,24222,15.5889755,73.7718955,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,0.74,0.74,0.37,1.48,2.0,0.74,0.74,Full,No,Filled up every year,1.0,1.0,200.0,No,,,No,No,,,1-Standalone,,No,VIKAS FATARPEKAR,MIC_2682036.jpeg,2026-05-04 11:52:21.214,
Rural,GOA,North Goa,Bardez,,Assagao,,4,2026-05-04,No,1/30/551/005929/0626672/0004,Redisal ,,,Tank,,251/9,15.5991768,73.7646862,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,24.12,24.12,12.06,48.24,2.0,24.12,24.12,Full,No,Filled up every year,1.0,1.0,220.0,No,,,No,No,,,1-Standalone,,No,VIKAS FATARPEKAR,MIC_2682238.jpeg,2026-05-04 12:54:16.257,
Rural,GOA,North Goa,Bardez,,Assagao,,5,2026-05-04,No,1/30/551/005929/0626672/0005,Dutta Mandir temple Tank Sonar khed Spring badem ,,,Tank,,83/1,15.6043547,73.7618864,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,20.44,20.44,10.22,40.88,2.0,20.44,20.44,Full,No,Filled up every year,1.0,1.0,150.0,No,,,No,No,,,1-Standalone,,No,VIKAS FATARPEKAR,MIC_2682452.jpeg,2026-05-04 14:09:00.381,
Rural,GOA,North Goa,Bardez,,Assagao,,6,2026-05-06,No,1/30/551/005929/0626672/0006,Badem,,,Ponds,,44/3,15.6053641,73.7567956,Others,Group of Individuals,No,,,,,,Construction,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,70.37,70.37,35.185,140.74,2.0,70.37,70.37,Nil/Negligible filled up,No,Never filled up,1.0,1.0,100.0,No,,,No,Yes,No,,1-Standalone,,No,VIKAS FATARPEKAR,MIC_2688683.jpeg,2026-05-06 11:40:43.239,
Rural,GOA,North Goa,Bardez,,Assagao,,7,2026-05-06,No,1/30/551/005929/0626672/0007,Afaramet wadi,,,Ponds,,76/1,15.6044055,73.7602105,Others,Group of Individuals,No,,,,,,Destroyed beyond repair,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,436.51,436.51,218.255,873.2,2.0,436.51,436.31,Nil/Negligible filled up,Yes,Never filled up,1.0,1.0,,No,,,No,No,,,1-Standalone,,No,VIKAS FATARPEKAR,MIC_2688973.jpeg,2026-05-06 12:46:20.841,
Rural,GOA,North Goa,Bardez,,Assagao,,8,2026-05-06,No,1/30/551/005929/0626672/0008,Badem 77/1,,,Ponds,,77/1,15.6044568,73.7605336,Others,Group of Individuals,No,,,,,,Destroyed beyond repair,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,58.47,58.47,29.235,116.94,2.0,58.47,58.47,Nil/Negligible filled up,Yes,Never filled up,1.0,1.0,120.0,No,,,No,No,,,1-Standalone,,No,VIKAS FATARPEKAR,MIC_2689061.jpeg,2026-05-06 12:54:29.898,
Rural,GOA,North Goa,Bardez,,Assagao,,9,2026-05-06,No,1/30/551/005929/0626672/0009,Badem 78/1,,,Ponds,,78/1,15.6044982,73.7605567,Others,Group of Individuals,No,,,,,,Destroyed beyond repair,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,37.95,37.95,18.975,75.9,2.0,37.95,37.95,Nil/Negligible filled up,Yes,Never filled up,1.0,1.0,130.0,No,,,No,No,,,1-Standalone,,No,VIKAS FATARPEKAR,MIC_2689114.jpeg,2026-05-06 13:03:51.624,
Rural,GOA,North Goa,Bardez,,Parra,,1,2026-04-28,No,1/30/551/005929/0626675/0001,batti waddo tank,,,Ponds,,81/4,15.5771359,73.7850114,Others,Group of Individuals,Yes,Religious,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,57.43,57.43,28.715,114.86,2.0,57.43,57.43,Full,No,Filled up every year,1.0,1.0,200.0,No,,,No,No,,,1-Standalone,,No,SHILPA KANDOLKAR,MIC_2664165.jpeg,2026-04-28 09:55:09.842,
Rural,GOA,North Goa,Bardez,,Parra,,2,2026-04-28,No,1/30/551/005929/0626675/0002,britto,,,Tank,,147/27,15.5642948,73.7907384,Others,Group of Individuals,Yes,Religious,,,,,,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,40.85,40.85,20.425,81.7,2.0,100.0,100.0,Full,Yes,Filled up every year,1.0,1.0,200.0,No,,,No,No,,,1-Standalone,,No,SHILPA KANDOLKAR,MIC_2664428.jpeg,2026-04-28 10:58:46.015,
Rural,GOA,North Goa,Bardez,,Parra,,3,2026-04-29,No,1/30/551/005929/0626675/0003,Almeida ,,,Tank,,178/11,15.5645934,73.7842059,Others,Group of Individuals,Yes,Religious,,,,,,Natural,,,,,,No,,,,,,,No,,No,More than 9 months,26.9,26.9,13.45,53.8,2.0,2.0,2.0,Full,No,Filled up every year,1.0,1.0,300.0,No,,,No,No,,,1-Standalone,,No,SHILPA KANDOLKAR,MIC_2668809.jpeg,2026-04-29 15:51:26.185,Good 
Rural,GOA,North Goa,Bardez,,Parra,,4,2026-04-30,No,1/30/551/005929/0626675/0004,Patyem,,,Lakes,,205/24,15.5660658,73.7779053,Others,Other private body,Yes,Other,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,1052.23,1052.23,526.125,2104.46,100.0,100.0,1.0,Full,Yes,Never filled up,1.0,1.0,200.0,No,,,No,No,,,1-Standalone,,Yes,SHILPA KANDOLKAR,MIC_2672049.jpeg,2026-04-30 15:45:48.74,Need Maintenance 
Rural,GOA,North Goa,Bardez,,Parra,,5,2026-04-30,No,1/30/551/005929/0626675/0005,Sonaye 5/5,,,Ponds,,5/5,15.5693635,73.7863936,Others,Other private body,No,,,,,,Others,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,163.23,163.23,81.615,326.46,332.0,1.0,100.0,Nil/Negligible filled up,No,Never filled up,1.0,1.0,10.0,No,,,No,No,,,1-Standalone,,No,SHILPA KANDOLKAR,MIC_2681498.jpeg,2026-05-04 10:05:51.156,"Dried ,needs improvement "
Rural,GOA,North Goa,Bardez,,Parra,,6,2026-04-30,No,1/30/551/005929/0626675/0006,157/3839,,,Ponds,,157/3839,15.5631712,73.78751,Others,Other private body,No,,,,,,Others,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,150.61,150.61,75.3,301.2,31.22,100.0,100.0,Nil/Negligible filled up,Yes,Never filled up,1.0,1.0,0.0,No,,,No,No,,,1-Standalone,,No,SHILPA KANDOLKAR,MIC_2681499.jpeg,2026-05-04 10:05:57.239,dried needs improvement fast
Rural,GOA,North Goa,Bardez,,Parra,,7,2026-04-29,No,1/30/551/005929/0626675/0007,Jamanabai Paryut,,,Ponds,,86/34,15.5763811,73.7890814,Others,Other private body,No,,,,,,Others,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,99.87,99.87,49.93,199.74,100.0,10.0,10.0,Nil/Negligible filled up,No,Never filled up,1.0,1.0,100.0,Not Known,,,No,No,,,1-Standalone,,No,SHILPA KANDOLKAR,MIC_2681500.jpeg,2026-05-04 10:06:03.418,Dry. Needs improvement 
Rural,GOA,North Goa,Bardez,,Parra,,8,2026-04-29,No,1/30/551/005929/0626675/0008,Madani church,,,Ponds,,50/25,15.5798667,73.7802117,Others,Other private body,No,,,,,,Others,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,58.81,58.81,29.45,117.62,100.0,10.0,10.0,Nil/Negligible filled up,No,Never filled up,1.0,0.0,0.0,Not Known,,,No,No,,,1-Standalone,,No,SHILPA KANDOLKAR,MIC_2681501.jpeg,2026-05-04 10:06:08.411,Needs improvement 
